Site_Name;Region;Latitude;Longitude;C14_date;Error;Lab_Number;Material_Dated;Full Reference;;;;;;;;;;;;;;;;;;
Piedra Museo AEP-1;Pat ;-47,895;-67,867778;10390;70;OxA8527;bone;Miotti, L. L., Salemme, M., Flegenheimer, N. (2003). Where the south winds blow: ancient evidence of paleo-south Americans. College Station, USA: Texas A&M University Press.;;;;;;;;;;;;;;;;;;
Cueva Tixi;Pampas;-37,84;-58,065833;10375;90;AA-12130;charcoal;Mazzanti, D. L. (2003). Human settlements in caves and rockshelters during the Pleistocene-Holocene transition in the Eastern Tandilia range, Pampean Region, Argentina. In: Where the south winds blow: ancient evidences for Paleo South Americans. (Eds. Salemme, M., Flegenheimer, N., Miotti, L.). Center for the study of the First Americans. Texas University.;;;;;;;;;;;;;;;;;;
Agua de la Cueva;S. Andes;-32,616;-69,15;10350;220;Beta-26250;charcoal;Paez, M. M., Zarate, M., Mancini, M. V., Prieto, A. (2003). Paleoenvironments during the Pleistocene-Holocene transition in southern South America, Argentina. In: Where the South Winds Blow. (Eds: Miotti, L., Salemme, M., Flegenheimer, N.). Center for the Study of the First Americans, Texas A&M University Press, College Station, pp 121-125.;;;;;;;;;;;;;;;;;;
Pintoscayoc 1;S. Andes;-22,9444;-65,4182;10340;70;Beta-79849;charcoal;Hernandez Llosas, M. I. (2001). Tres momentos, tres contextos, un lugar: variaciones temporales y contextuales en el arte rupestre de La Quebrada De Humahuaca. Jujuy: Argentina. Boletin del Museo Chileno de Arte Precolumbiano, 8, 59-82.;;;;;;;;;;;;;;;;;;
Cerro El Sombrero A1;Pampas;-37,817;-58,56;10270;85;AA-4766;charcoal;Flegenheimer, N., Zarate, M. (1997). Considerations on radiocarbon and calibrated dates from Cerro La China and Cerro El Sombrero, Argetina. Current Research in the Pleistocene, 14, 27-28.;;;;;;;;;;;;;;;;;;
Cueva El Abra;Pampas;-37,968333;-58,152222;10270;200;AA-94641;charcoal;Mazzanti, D. L., Martinez, G., Colobig, M. M., Zucol, A., Passeggi, E., Brea, M., Bonnat, G. F., Hassan, G., Soria, J. L., Vera, A., Quintana, A. C. (2013). Avances en los estudios arqueologicos, geoarqueologicos, y paleoambientales en las sierras orientales de Tandilia. Resultados preliminares de los sitios Alero El Mirador y Abrigo La Grieta. Revista del Museo de La Plata, Seccion Antropologia, 13, 87.;;;;;;;;;;;;;;;;;;
Cerro Tres Tetas 1;Pat ;-48,149444;-68,933;10260;110;LP-800;charcoal;Lima-Ribeiro, M. S., Diniz-Filho, J. A. F. (2013). American megafaunal extinctions and human arrival: improved evaluation using a meta-analytic approach. Quaternary International, 299, 38-52.;;;;;;;;;;;;;;;;;;
Casa del Minero;Pat ;-48,576;-68,9125;10250;110;AA-45705;charcoal;Paunero, R. (2003). The presence of a Pleistocene colonizing culture in La Maria archaeological locality: Casa del Minero 1. In: Where the south winds blow: ancient evidence of Paleo South America (Eds. Miotti, L., Salemme, M., Flegenheimer, N.). College Station: Texas A&M University, Center for the Study of the First Americans, pp 127-132.;;;;;;;;;;;;;;;;;;
Agua de la Cueva;S. Andes;-32,616;-69,15;10240;60;Beta-61408;charcoal;Paez, M. M., Zarate, M., Mancini, M. V., Prieto, A. (2003). Paleoenvironments during the Pleistocene-Holocene transition in southern South America, Argentina. In: Where the South Winds Blow. (Eds: Miotti, L., Salemme, M., Flegenheimer, N.). Center for the Study of the First Americans, Texas A&M University Press, College Station, pp 121-125.;;;;;;;;;;;;;;;;;;
Gruta del Indio;S. Andes;-34,75;-68,366667;10195;80;A-9497;charcoal;Lima-Ribeiro, M. S., Diniz-Filho, J. A. F. (2013). American megafaunal extinctions and human arrival: improved evaluation using a meta-analytic approach. Quaternary International, 299, 38-52.;;;;;;;;;;;;;;;;;;
